date,areaType,areaCode,areaName,cumDailyNsoDeathsByDeathDate,newDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
"2021-02-26",overview,K02000001,United Kingdom,,65,19682048,768810
"2021-02-25",overview,K02000001,United Kingdom,,162,19177555,736037
"2021-02-24",overview,K02000001,United Kingdom,,215,18691835,700718
"2021-02-23",overview,K02000001,United Kingdom,,254,18242873,669105
"2021-02-22",overview,K02000001,United Kingdom,,249,17916181,642788
"2021-02-21",overview,K02000001,United Kingdom,,291,17723840,624325
"2021-02-20",overview,K02000001,United Kingdom,,313,17582121,615148
"2021-02-19",overview,K02000001,United Kingdom,,359,17247442,604885
"2021-02-18",overview,K02000001,United Kingdom,,397,16875536,589591
"2021-02-17",overview,K02000001,United Kingdom,,409,16423082,573724
"2021-02-16",overview,K02000001,United Kingdom,,433,15940972,558577
"2021-02-15",overview,K02000001,United Kingdom,,508,15576107,546165
"2021-02-14",overview,K02000001,United Kingdom,,480,15300151,539630
"2021-02-13",overview,K02000001,United Kingdom,,482,15062189,537715
"2021-02-12",overview,K02000001,United Kingdom,138468,515,14556827,534869
"2021-02-11",overview,K02000001,United Kingdom,138075,563,14012224,530094
"2021-02-10",overview,K02000001,United Kingdom,137563,597,13509108,524447
"2021-02-09",overview,K02000001,United Kingdom,136970,600,13058298,519553
"2021-02-08",overview,K02000001,United Kingdom,136337,676,12646486,516392
"2021-02-07",overview,K02000001,United Kingdom,135638,632,12294006,512581
"2021-02-06",overview,K02000001,United Kingdom,134950,694,12015018,511719
"2021-02-05",overview,K02000001,United Kingdom,134225,745,11465210,510057
"2021-02-04",overview,K02000001,United Kingdom,133403,711,10971047,505993
"2021-02-03",overview,K02000001,United Kingdom,132624,853,10490487,501957
"2021-02-02",overview,K02000001,United Kingdom,131693,845,10021471,498962
"2021-02-01",overview,K02000001,United Kingdom,130776,881,9646715,496796
"2021-01-31",overview,K02000001,United Kingdom,129812,889,9296367,494209
"2021-01-30",overview,K02000001,United Kingdom,128855,905,8977329,491053
"2021-01-29",overview,K02000001,United Kingdom,127865,1064,8378940,480432
"2021-01-28",overview,K02000001,United Kingdom,126758,1106,7891184,478254
"2021-01-27",overview,K02000001,United Kingdom,125571,1106,7476765,476485
"2021-01-26",overview,K02000001,United Kingdom,124395,1057,7164387,474156
"2021-01-25",overview,K02000001,United Kingdom,123269,1161,6853327,472446
"2021-01-24",overview,K02000001,United Kingdom,122050,1150,6573570,470478
"2021-01-23",overview,K02000001,United Kingdom,120851,1161,6353321,469660
"2021-01-22",overview,K02000001,United Kingdom,119617,1234,5861351,468617
"2021-01-21",overview,K02000001,United Kingdom,118319,1233,5383103,466796
"2021-01-20",overview,K02000001,United Kingdom,117013,1288,4973248,464036
"2021-01-19",overview,K02000001,United Kingdom,115676,1360,4609740,460625
"2021-01-18",overview,K02000001,United Kingdom,114229,1291,4266577,456866
"2021-01-17",overview,K02000001,United Kingdom,112873,1262,4062501,452301
"2021-01-16",overview,K02000001,United Kingdom,111553,1302,3872394,450062
"2021-01-15",overview,K02000001,United Kingdom,110178,1222,3576263,447442
"2021-01-14",overview,K02000001,United Kingdom,108881,1213,3234946,443234
"2021-01-13",overview,K02000001,United Kingdom,107573,1211,2918252,437977
"2021-01-12",overview,K02000001,United Kingdom,106296,1205,2639309,428232
"2021-01-11",overview,K02000001,United Kingdom,105018,1127,2431648,412167
"2021-01-10",overview,K02000001,United Kingdom,103806,1092,2286572,391399
"2021-01-09",overview,K02000001,United Kingdom,102663,1012,,
"2021-01-08",overview,K02000001,United Kingdom,101596,976,,
"2021-01-07",overview,K02000001,United Kingdom,100573,993,,
"2021-01-06",overview,K02000001,United Kingdom,99537,927,,
"2021-01-05",overview,K02000001,United Kingdom,98548,907,,
"2021-01-04",overview,K02000001,United Kingdom,97597,837,,
"2021-01-03",overview,K02000001,United Kingdom,96721,753,,
"2021-01-02",overview,K02000001,United Kingdom,95936,751,,
"2021-01-01",overview,K02000001,United Kingdom,95123,744,,
"2020-12-31",overview,K02000001,United Kingdom,94324,753,,
"2020-12-30",overview,K02000001,United Kingdom,93516,716,,
"2020-12-29",overview,K02000001,United Kingdom,92768,658,,
"2020-12-28",overview,K02000001,United Kingdom,92066,675,,
"2020-12-27",overview,K02000001,United Kingdom,91357,643,,
"2020-12-26",overview,K02000001,United Kingdom,90655,651,,
"2020-12-25",overview,K02000001,United Kingdom,89971,610,,
"2020-12-24",overview,K02000001,United Kingdom,89324,581,,
"2020-12-23",overview,K02000001,United Kingdom,88713,565,,
"2020-12-22",overview,K02000001,United Kingdom,88093,563,,
"2020-12-21",overview,K02000001,United Kingdom,87472,572,,
"2020-12-20",overview,K02000001,United Kingdom,86879,503,,
"2020-12-19",overview,K02000001,United Kingdom,86334,487,,
"2020-12-18",overview,K02000001,United Kingdom,85792,515,,
"2020-12-17",overview,K02000001,United Kingdom,85214,535,,
"2020-12-16",overview,K02000001,United Kingdom,84653,433,,
"2020-12-15",overview,K02000001,United Kingdom,84178,454,,
"2020-12-14",overview,K02000001,United Kingdom,83680,479,,
"2020-12-13",overview,K02000001,United Kingdom,83183,419,,
"2020-12-12",overview,K02000001,United Kingdom,82709,437,,
"2020-12-11",overview,K02000001,United Kingdom,82225,450,,
"2020-12-10",overview,K02000001,United Kingdom,81737,445,,
"2020-12-09",overview,K02000001,United Kingdom,81247,430,,
"2020-12-08",overview,K02000001,United Kingdom,80806,436,,
"2020-12-07",overview,K02000001,United Kingdom,80344,421,,
"2020-12-06",overview,K02000001,United Kingdom,79884,418,,
"2020-12-05",overview,K02000001,United Kingdom,79450,394,,
"2020-12-04",overview,K02000001,United Kingdom,79050,474,,
"2020-12-03",overview,K02000001,United Kingdom,78555,471,,
"2020-12-02",overview,K02000001,United Kingdom,78057,385,,
"2020-12-01",overview,K02000001,United Kingdom,77647,403,,
"2020-11-30",overview,K02000001,United Kingdom,77228,421,,
"2020-11-29",overview,K02000001,United Kingdom,76765,461,,
"2020-11-28",overview,K02000001,United Kingdom,76266,464,,
"2020-11-27",overview,K02000001,United Kingdom,75785,421,,
"2020-11-26",overview,K02000001,United Kingdom,75332,433,,
"2020-11-25",overview,K02000001,United Kingdom,74875,481,,
"2020-11-24",overview,K02000001,United Kingdom,74379,457,,
"2020-11-23",overview,K02000001,United Kingdom,73887,464,,
"2020-11-22",overview,K02000001,United Kingdom,73389,475,,
"2020-11-21",overview,K02000001,United Kingdom,72882,463,,
"2020-11-20",overview,K02000001,United Kingdom,72387,451,,
"2020-11-19",overview,K02000001,United Kingdom,71912,462,,
"2020-11-18",overview,K02000001,United Kingdom,71433,486,,
"2020-11-17",overview,K02000001,United Kingdom,70924,439,,
"2020-11-16",overview,K02000001,United Kingdom,70462,424,,
"2020-11-15",overview,K02000001,United Kingdom,70036,452,,
"2020-11-14",overview,K02000001,United Kingdom,69585,428,,
"2020-11-13",overview,K02000001,United Kingdom,69130,433,,
"2020-11-12",overview,K02000001,United Kingdom,68688,419,,
"2020-11-11",overview,K02000001,United Kingdom,68261,388,,
"2020-11-10",overview,K02000001,United Kingdom,67856,388,,
"2020-11-09",overview,K02000001,United Kingdom,67447,479,,
"2020-11-08",overview,K02000001,United Kingdom,66964,414,,
